,joined,kind,link,location,market,name,pitch,raised,size,stage,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric
816,2014-03-01,Startup,https://angel.co/company/curiosity-com-1,Chicago,Video Streaming,Curiosity,"
The web's best learning content.
",6000000,11-50,Series A,curiosity.com,5.794520547945205,1035460.9929078015,1,0,25.0
817,2013-04-01,Startup,https://angel.co/company/currently-1,Seattle,,Currently,"
Communities for Outdoor Enthusiasts
",140000,1-10,Seed,currently.am,6.7095890410958905,20865.659452837892,0,0,5.0
818,2013-06-01,Startup,https://angel.co/company/curriculet,San Francisco,K-12 Education,Curriculet,"
Dynamic, interactive ereading platform for schools
",1850000,1-10,Seed,curriculet.com,6.542465753424658,282768.0067001675,0,0,5.0
819,2015-04-01,Startup,https://angel.co/company/curve,London,Personal Finance,Curve,"
A simpler, safer way to manage your money on the go, with all your cards in one.
",67000000,51-200,Series B,curve.app,4.7095890410958905,14226294.35718441,1,1,125.0
820,2014-08-01,Startup,https://angel.co/company/customcm,London,Personalization,Custom,"
The Real Voices of Fashion
",327500,1-10,,custom.cm,5.375342465753425,60926.35066258919,0,0,5.0
821,2013-02-01,Startup,https://angel.co/company/custom-college-recruiting,Kentucky,College Recruiting,Custom College Recruiting,"
Your college recruiting starts with us.
",250000,1-10,Seed,customcollegerecruiting.com,6.8712328767123285,36383.57256778309,0,0,5.0
822,2013-08-01,Startup,https://angel.co/company/customer360-1,Mumbai,Customer Support Tools,Customer360,"
Customer Experience Management
",1000000,11-50,Seed,Customer360.co,6.375342465753425,156854.31886549204,0,0,25.0
823,2012-10-01,Startup,https://angel.co/company/custora,New York City,Predictive Analytics,Custora,"
Making marketing better
",7350000,51-200,Series A,custora.com,7.208219178082191,1019669.3272519954,1,0,125.0
824,2014-06-01,Startup,https://angel.co/company/cyanogen-6,Palo Alto,-,Cyanogen,"
",180000000,11-50,Series B,cyngn.com,5.542465753424658,32476520.019772615,1,1,25.0
825,2015-01-01,Startup,https://angel.co/company/cybatar-inc,Johannesburg,Location Based Services,Cybatar,"
Service-on-demand
",10000,11-50,Seed,cybatar.com,4.956164383561644,2017.6893311221668,0,0,25.0
826,2014-05-01,Startup,https://angel.co/company/cybelangel,Paris,B2B,CybelAngel,"
Data leak detection
",4000000,51-200,Series A,cybelangel.com,5.627397260273972,710808.1791626096,1,0,125.0
827,2013-07-01,Startup,https://angel.co/company/cyber-gifts,Moscow,Mobile Games,Cyber Gifts,"
 e-gifting made easy
",220000,1-10,Seed,cyber-gifts.com,6.46027397260274,34054.28329092451,0,0,5.0
828,2013-02-01,Startup,https://angel.co/company/cyber-holdings,San Diego,Comics,Cyber Holdings,"
PC-FPS Matches for cash/prizes; companion site for graphic novel
",152000,1-10,Seed,warzonesecure.com,6.8712328767123285,22121.212121212124,0,0,5.0
829,2015-07-01,Startup,https://angel.co/company/cybereason,Cambridge,Real Time,Cybereason,"
Real time security protection for enterprises
",179600000,201-500,Series D,cybereason.com,4.46027397260274,40266584.76658477,1,1,350.0
830,2011-07-01,Startup,https://angel.co/company/cybernetic-connection,St. Louis,Online Gaming,Cybernetic Connection,"
Console and Online Game Creation
",100000,1-10,Seed,cyberneticconnection.com,8.463013698630137,11816.121722240207,0,0,5.0
831,2013-09-01,Startup,https://angel.co/company/cympel,San Francisco,Mobile Commerce,Cympel,"
Data Connected Advertising
",175000,1-10,Seed,cympel.com,6.2904109589041095,27820.121951219513,0,0,5.0
832,2014-02-01,Startup,https://angel.co/company/cyntient,Seattle,Mobile Games,Cyntient,"
AI for Games, Simulations & Beyond. The AI behind ""The Sony PS4's Secret Weapon"".
",1340000,1-10,Seed,cyntient.com,5.8712328767123285,228231.45123658422,0,0,5.0
833,2014-06-01,Startup,https://angel.co/company/cyph,Washington DC,Messaging,Cyph,"
Quantum-resistant messaging & crypto wallet, with patented security & ease of use.
",620000,1-10,Seed,cyph.com,5.542465753424658,111863.56895699455,0,0,5.0
834,2011-05-01,Startup,https://angel.co/company/d8a-group,Philadelphia,Data Visualization,D8A Group,"
Predictive Analytics
",45000,1-10,Seed,d8a.com,8.63013698630137,5214.285714285715,0,0,5.0
835,2013-03-01,Startup,https://angel.co/company/daqri,Dublin,Industrial,DAQRI,"
Augmented Reality Wearables & Smart Automotive HUDs
",330000000,201-500,,daqri.com,6.794520547945205,48568548.38709678,1,1,350.0
836,2014-12-01,Startup,https://angel.co/company/datapath-io,Mainz,IaaS,DATAPATH.IO,"
Internet Traffic Optimization.
",1100000,11-50,Seed,datapath.io,5.041095890410959,218206.52173913046,0,0,25.0
837,2013-07-01,Startup,https://angel.co/company/davo-technologies,Portland,Governments,DAVO Technologies,"
DAVO does for sales tax what ADP and Paychex did for payroll 
",4000000,1-10,Seed,davotechnologies.com,6.46027397260274,619168.7871077184,1,0,5.0
838,2013-03-01,Startup,https://angel.co/company/24quan,Beijing,China Internet,DHG (Cayman),"
One of the earliest and largest group buying operators in China
",46160000,5000+,Seed,24quan.com,6.794520547945205,6793709.677419355,1,1,8000.0
